date,energy_system,price_base,price_peak,price_offpeak,price_min,price_max,price_average
2024-09-03,ОЕС України (синхронізована з ENTSO-E),6055.2425,5784.375,6326.11,2987.5,9000,6077.8191918755
2024-09-04,ОЕС України (синхронізована з ENTSO-E),6432.64625,6712.57416666667,6152.71833333333,3980,9000,6628.38000475446
2024-09-05,ОЕС України (синхронізована з ENTSO-E),6521.87083333333,6602.07833333333,6441.66333333333,4650,9000,6661.03258593369
2024-09-06,ОЕС України (синхронізована з ENTSO-E),5041.945,4461.91,5621.98,620,9000,5069.25107973293
2024-09-07,ОЕС України (синхронізована з ENTSO-E),4587.41666666667,3749.41666666667,5425.41666666667,999,9000,4707.99352001318
2024-09-08,ОЕС України (синхронізована з ENTSO-E),3654.91666666667,3481.5,3828.33333333333,650,9000,4053.97019241501
2024-09-09,ОЕС України (синхронізована з ENTSO-E),5452.42291666667,5542.135,5362.71083333333,1750,9000,5781.29046989123
2024-09-10,ОЕС України (синхронізована з ENTSO-E),6192.06166666667,6733.73416666667,5650.38916666667,2500,9000,6565.61076322111
2024-09-11,ОЕС України (синхронізована з ENTSO-E),5941.67041666667,6115.17416666667,5768.16666666667,3170,9000,6219.13325562533
2024-09-12,ОЕС України (синхронізована з ENTSO-E),6151.12541666667,6760.65583333333,5541.595,1750,9000,6589.10461167904
2024-09-13,ОЕС України (синхронізована з ENTSO-E),6586.56,6671.8625,6501.2575,4650,9000,6790.21642569492
2024-09-14,ОЕС України (синхронізована з ENTSO-E),6135.05875,6102.08833333333,6168.02916666667,3040,9000,6364.58106229428
2024-09-15,ОЕС України (синхронізована з ENTSO-E),4523.34125,3787.71333333333,5258.96916666667,398,9000,4809.22440045275
2024-09-16,ОЕС України (синхронізована з ENTSO-E),6366.49791666667,6769.5875,5963.40833333333,3980,9000,6602.92508639531
2024-09-17,ОЕС України (синхронізована з ENTSO-E),5792.45208333333,5411.425,6173.47916666667,1120,9000,5974.97609430728
2024-09-18,ОЕС України (синхронізована з ENTSO-E),6142.68083333333,6411.02833333333,5874.33333333333,3980,9000,6380.57374806245
2024-09-19,ОЕС України (синхронізована з ENTSO-E),4643.875,3984.83333333333,5302.91666666667,378,9000,4913.39126819767
2024-09-20,ОЕС України (синхронізована з ENTSO-E),4476.87125,3252.79666666667,5700.94583333333,100,9000,4605.839096052
2024-09-21,ОЕС України (синхронізована з ENTSO-E),4909.2625,4074.75333333333,5743.77166666667,405,8952.09,5222.68835789874
2024-09-22,ОЕС України (синхронізована з ENTSO-E),5122.55375,4026,6219.1075,100,9000,5306.52653093613
2024-09-23,ОЕС України (синхронізована з ENTSO-E),5322.08083333333,4494.16666666667,6149.995,100,9000,5475.70282069289
2024-09-24,ОЕС України (синхронізована з ENTSO-E),5359.87416666667,4373.08333333333,6346.665,1049,9000,5447.46139242347
2024-09-25,ОЕС України (синхронізована з ENTSO-E),5470.25666666667,5007.42666666667,5933.08666666667,1049,9000,5689.94194058419
2024-09-26,ОЕС України (синхронізована з ENTSO-E),4841.84166666667,5021.1,4662.58333333333,1046,9000,5323.41189653964
2024-09-27,ОЕС України (синхронізована з ENTSO-E),5109.21583333333,4819.795,5398.63666666667,953,9000,5474.85940619302
