"","date","load_type","country","price","price_difference"
"193","2019-09-08","позапік","Словаччина",34.52,-14.85
"194","2019-09-08","позапік","Угорщина",39.36,-2.91
"195","2019-09-08","позапік","Румунія",41.67,2.79
"196","2019-09-09","база","Україна",57.02,NA
"197","2019-09-09","база","Польща",251.79,341.58
"198","2019-09-09","база","Словаччина",48.59,-14.78
"199","2019-09-09","база","Угорщина",52.54,-7.86
"200","2019-09-09","база","Румунія",53.33,-6.47
"201","2019-09-09","пік","Україна",73.18,NA
"202","2019-09-09","пік","Польща",274.16,274.64
"203","2019-09-09","пік","Словаччина",56.46,-22.85
"204","2019-09-09","пік","Угорщина",57.33,-21.66
"205","2019-09-09","пік","Румунія",57.33,-21.66
"206","2019-09-09","позапік","Україна",40.85,NA
"207","2019-09-09","позапік","Польща",229.42,461.62
"208","2019-09-09","позапік","Словаччина",40.72,-0.32
"209","2019-09-09","позапік","Угорщина",47.76,16.92
"210","2019-09-09","позапік","Румунія",49.34,20.78
"211","2019-09-10","база","Україна",57.41,NA
"212","2019-09-10","база","Польща",230.66,301.78
"213","2019-09-10","база","Словаччина",37.21,-35.19
"214","2019-09-10","база","Угорщина",52.3,-8.9
"215","2019-09-10","база","Румунія",53.31,-7.14
"216","2019-09-10","пік","Україна",73.03,NA
"217","2019-09-10","пік","Польща",240.55,229.39
"218","2019-09-10","пік","Словаччина",39.29,-46.2
"219","2019-09-10","пік","Угорщина",57.21,-21.66
"220","2019-09-10","пік","Румунія",57.39,-21.42
"221","2019-09-10","позапік","Україна",41.79,NA
"222","2019-09-10","позапік","Польща",220.78,428.31
"223","2019-09-10","позапік","Словаччина",35.13,-15.94
"224","2019-09-10","позапік","Угорщина",47.38,13.38
"225","2019-09-10","позапік","Румунія",49.23,17.8
"226","2019-09-11","база","Україна",56.9,NA
"227","2019-09-11","база","Польща",234.09,311.41
"228","2019-09-11","база","Словаччина",36.18,-36.41
"229","2019-09-11","база","Угорщина",53.47,-6.03
"230","2019-09-11","база","Румунія",53.82,-5.41
"231","2019-09-11","пік","Україна",72.25,NA
"232","2019-09-11","пік","Польща",248.24,243.58
"233","2019-09-11","пік","Словаччина",38.41,-46.84
"234","2019-09-11","пік","Угорщина",56.62,-21.63
"235","2019-09-11","пік","Румунія",57.32,-20.66
"236","2019-09-11","позапік","Україна",41.55,NA
"237","2019-09-11","позапік","Польща",219.95,429.36
"238","2019-09-11","позапік","Словаччина",33.95,-18.29
"239","2019-09-11","позапік","Угорщина",50.32,21.11
"240","2019-09-11","позапік","Румунія",50.32,21.11
"241","2019-09-12","база","Україна",58.1,NA
"242","2019-09-12","база","Польща",234.63,303.84
"243","2019-09-12","база","Словаччина",38.98,-32.91
"244","2019-09-12","база","Угорщина",54.54,-6.13
"245","2019-09-12","база","Румунія",54.87,-5.56
"246","2019-09-12","пік","Україна",73.58,NA
"247","2019-09-12","пік","Польща",246.67,235.24
"248","2019-09-12","пік","Словаччина",42.3,-42.51
"249","2019-09-12","пік","Угорщина",59.77,-18.77
"250","2019-09-12","пік","Румунія",60.15,-18.25
"251","2019-09-12","позапік","Україна",42.63,NA
"252","2019-09-12","позапік","Польща",222.59,422.14
